U set;U ctul;I set;I ctul;P set;P ctul;R set;R ctul;R mode;Output/Input;Deice mode;Error;Time
40;3.61;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:52.638
40;3.59;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:12:57.638
40;3.56;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:02.638
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:07.638
40;3.59;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:12.638
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:17.638
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:22.638
40;3.57;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:27.638
40;3.57;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:32.638
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:37.638
40;3.59;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:42.638
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:47.638
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:52.638
40;3.55;0.1;0.122;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:13:57.637
40;3.56;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:02.638
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:07.638
40;3.58;0.1;0.112;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:12.638
40;3.6;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:17.638
40;3.56;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:22.638
40;3.54;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:27.638
40;3.59;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:32.637
40;3.58;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:37.637
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:42.637
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:47.637
40;3.57;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:52.637
40;3.56;0.1;0.118;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:14:57.637
40;3.58;0.1;0.113;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:02.637
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:07.637
40;3.55;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:12.637
40;3.6;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:17.637
40;3.58;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:22.637
40;3.58;0.1;0.117;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:27.637
40;3.55;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:32.637
40;3.59;0.1;0.116;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:37.637
40;3.59;0.1;0.119;320.00W;0.00W;N/;N/;N/;On;CC;None;26/04/2024 14:15:42.637
