U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
40.00V;2.94V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:47.534
40.00V;2.93V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:52.520
40.00V;2.96V;0.100A;0.113A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:54:57.519
40.00V;2.95V;0.100A;0.119A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:02.534
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:07.528
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:12.521
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:17.520
40.00V;2.94V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:22.530
40.00V;2.92V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:27.530
40.00V;2.92V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:32.520
40.00V;2.93V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:37.533
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:42.521
40.00V;2.94V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:47.531
40.00V;2.87V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:52.532
40.00V;2.93V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:55:57.531
40.00V;2.94V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:02.533
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:07.532
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:12.526
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:17.528
40.00V;2.91V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:22.521
40.00V;2.90V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:27.527
40.00V;2.91V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:32.529
40.00V;2.93V;0.100A;0.111A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:37.521
40.00V;2.93V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:42.527
40.00V;2.87V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:47.531
40.00V;2.93V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:52.529
40.00V;2.92V;0.100A;0.121A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:56:57.522
40.00V;2.87V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:02.523
40.00V;2.94V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:07.529
40.00V;2.92V;0.100A;0.114A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:12.522
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:17.529
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:22.525
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:27.522
40.00V;2.95V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:32.528
40.00V;2.88V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:37.529
40.00V;2.93V;0.100A;0.115A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:42.529
40.00V;2.91V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:47.521
40.00V;2.90V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:52.526
40.00V;2.95V;0.100A;0.117A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:57:57.523
40.00V;2.88V;0.100A;0.118A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:02.525
40.00V;2.92V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:07.522
40.00V;2.91V;0.100A;0.116A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;05.06.2024 17:58:12.528
