U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
40.00V;3.01V;0.100A;0.102A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:03.461
40.00V;3.01V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:08.455
40.00V;2.99V;0.100A;0.097A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:13.469
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:18.471
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:23.496
40.00V;2.98V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:28.488
40.00V;3.01V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:33.508
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:38.517
40.00V;3.00V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:43.538
40.00V;2.98V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:48.536
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:53.538
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:43:58.543
40.00V;3.00V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:03.550
40.00V;3.01V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:08.552
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:13.557
40.00V;2.98V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:18.552
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:23.560
40.00V;2.98V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:28.546
40.00V;2.98V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:33.553
40.00V;3.00V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:38.552
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:43.565
40.00V;2.97V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:48.568
40.00V;2.98V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:53.586
40.00V;3.01V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:44:58.579
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:03.592
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:08.605
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:13.611
40.00V;2.97V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:18.612
40.00V;2.98V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:23.609
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:28.615
40.00V;2.99V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:33.609
40.00V;2.97V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:38.619
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:43.610
40.00V;2.98V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:48.620
40.00V;2.98V;0.100A;0.104A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:53.611
40.00V;3.03V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:45:58.610
40.00V;2.98V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:03.610
40.00V;3.03V;0.100A;0.096A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:08.618
40.00V;2.97V;0.100A;0.105A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:13.623
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:18.624
40.00V;2.98V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:23.648
40.00V;2.98V;0.100A;0.103A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:28.652
40.00V;2.99V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:33.647
40.00V;3.03V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:38.648
40.00V;2.98V;0.100A;0.107A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:43.665
40.00V;2.98V;0.100A;0.101A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:48.656
40.00V;2.99V;0.100A;0.096A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:53.666
40.00V;3.02V;0.100A;0.099A;320.00W;0.00W;N/A;N/A;N/A;On;CC;None;10.06.2024 15:46:58.683
